date,team,points,mp
5/14/2013,Sunderland,39,37
5/14/2013,Wigan Athletic,35,36
5/14/2013,Reading,28,36
5/14/2013,QPR,25,37
5/19/2013,Manchester Utd,88,37
5/19/2013,Manchester City,78,37
5/19/2013,Chelsea,72,37
5/19/2013,Arsenal,70,37
5/19/2013,Tottenham,69,37
5/19/2013,Everton,63,37
5/19/2013,Liverpool,58,37
5/19/2013,West Brom,48,37
5/19/2013,Swansea City,46,37
5/19/2013,West Ham,43,37
5/19/2013,Stoke City,41,37
5/19/2013,Norwich City,41,37
5/19/2013,Newcastle Utd,41,37
5/19/2013,Southampton,40,37
5/19/2013,Fulham,40,37
5/19/2013,Aston Villa,40,37
5/19/2013,Sunderland,39,37
5/19/2013,Wigan Athletic,35,37
5/19/2013,Reading,28,37
5/19/2013,QPR,25,37
3/1/2014,Chelsea,60,27
3/1/2014,Arsenal,59,27
3/1/2014,Manchester City,57,26
3/1/2014,Liverpool,56,27
3/1/2014,Tottenham,50,27
3/1/2014,Manchester Utd,45,27
3/1/2014,Everton,45,26
3/1/2014,Newcastle Utd,40,27
3/1/2014,Southampton,39,27
3/1/2014,West Ham,31,27
3/1/2014,Hull City,30,27
3/1/2014,Swansea City,28,27
3/1/2014,Aston Villa,28,27
3/1/2014,Norwich City,28,27
3/1/2014,Stoke City,27,27
3/1/2014,Crystal Palace,26,26
3/1/2014,West Brom,25,27
3/1/2014,Sunderland,24,26
3/1/2014,Cardiff City,22,27
3/1/2014,Fulham,21,27
3/2/2014,Chelsea,63,28
3/2/2014,Liverpool,59,28
3/2/2014,Arsenal,59,28
3/2/2014,Manchester City,57,26
3/2/2014,Tottenham,50,27
3/2/2014,Everton,48,27
3/2/2014,Manchester Utd,45,27
3/2/2014,Newcastle Utd,43,28
3/2/2014,Southampton,39,28
3/2/2014,West Ham,31,28
3/2/2014,Hull City,30,28
3/2/2014,Stoke City,30,28
3/2/2014,Swansea City,28,27
3/2/2014,Aston Villa,28,27
3/2/2014,Norwich City,28,27
3/2/2014,Crystal Palace,26,26
3/2/2014,West Brom,25,27
3/2/2014,Sunderland,24,26
3/2/2014,Cardiff City,22,27
3/2/2014,Fulham,21,28
3/8/2014,Chelsea,63,28
3/8/2014,Liverpool,59,28
3/8/2014,Arsenal,59,28
3/8/2014,Manchester City,57,26
3/8/2014,Tottenham,53,28
3/8/2014,Everton,48,27
3/8/2014,Manchester Utd,45,27
3/8/2014,Newcastle Utd,43,28
3/8/2014,Southampton,39,28
3/8/2014,West Ham,31,28
3/8/2014,Aston Villa,31,28
3/8/2014,Hull City,30,28
3/8/2014,Stoke City,30,28
3/8/2014,Swansea City,29,28
3/8/2014,Norwich City,28,28
3/8/2014,Crystal Palace,27,27
3/8/2014,West Brom,25,27
3/8/2014,Sunderland,24,26
3/8/2014,Cardiff City,22,28
3/8/2014,Fulham,21,28
3/15/2014,Chelsea,66,29
3/15/2014,Liverpool,59,28
3/15/2014,Arsenal,59,28
3/15/2014,Manchester City,57,26
3/15/2014,Tottenham,53,29
3/15/2014,Manchester Utd,48,28
